order	readout	ChipID	payload	location	isCol	timestamp	tot_msb	tot_lsb	tot_total	tot_us	fpga_ts
0	1	0	4	2	True	127	1	98	354	1.77	2929362166
1	1	0	4	1	True	105	10	175	2735	13.675	2929408108
0	2	0	4	2	True	255	11	250	3066	15.33	2929573834
1	2	0	4	0	True	55	15	77	3917	19.585	2929575074
2	2	0	4	2	True	23	9	98	2402	12.01	2929621264
0	3	0	4	1	True	172	2	222	734	3.67	2929872116
1	3	0	4	1	True	172	1	14	270	1.35	2929873356
0	6	0	4	1	True	107	4	130	1154	5.77	2931498438
1	6	0	4	2	True	157	15	109	3949	19.745	2931539234
2	6	0	4	1	True	107	2	98	610	3.05	2931540474
0	7	0	4	1	True	125	11	147	2963	14.815	2931759396
1	7	0	4	1	True	145	3	63	831	4.155	2931808128
0	8	0	4	0	True	243	0	254	254	1.27	2932045216
1	8	0	4	1	True	204	10	3	2563	12.815	2932046456
0	9	0	4	2	True	202	1	90	346	1.73	2932246840
1	9	0	4	0	True	102	9	121	2425	12.125	2932285838
0	11	0	4	0	True	233	11	43	2859	14.295	2933432838
1	11	0	4	0	True	80	10	118	2678	13.39	2933483678
0	12	0	4	2	True	223	8	243	2291	11.455	2933681086
1	12	0	4	0	True	67	5	89	1369	6.845	2933736018
0	14	0	4	2	True	29	12	66	3138	15.69	2934173304
1	14	0	4	2	True	29	7	94	1886	9.43	2934185890
0	18	0	4	2	True	38	4	18	1042	5.21	2936307406
1	18	0	4	2	True	43	9	27	2331	11.655	2936354836
0	20	0	4	1	True	74	1	66	322	1.61	2936801174
1	20	0	4	2	True	248	10	65	2625	13.125	2936804398
2	20	0	4	0	True	92	11	137	2953	14.765	2936817542
0	22	0	4	0	True	67	13	234	3562	17.81	2938489868
1	22	0	4	0	True	155	1	206	462	2.31	2938523286
0	23	0	4	2	True	33	15	204	4044	20.22	2938698250
1	23	0	4	34	True	40	11	49	2865	14.325	2938700110
2	23	0	4	1	True	123	6	96	1632	8.16	2938701350
0	27	0	4	2	True	12	11	89	2905	14.525	2941377146
1	27	0	4	2	True	95	1	209	465	2.325	2941420484
0	28	0	4	2	True	111	5	162	1442	7.21	2941559426
1	28	0	4	9	True	156	1	148	404	2.02	2941560666
2	28	0	4	2	True	169	10	2	2562	12.81	2941561906
0	29	0	4	1	True	203	8	133	2181	10.905	2941806744
1	29	0	4	2	True	20	10	32	2592	12.96	2941860126
0	30	0	4	0	True	237	8	234	2282	11.41	2942052636
1	30	0	4	1	True	60	15	195	4035	20.175	2942091138
2	30	0	4	1	True	186	7	73	1865	9.325	2942092378
3	30	0	4	2	True	186	11	108	2924	14.62	2942136894
0	88	0	4	30	False	22	8	18	2066	10.33	2975078858
1	88	0	4	28	True	18	0	26	26	0.13	2975169192
